model_number,marketing_name,ebus_model,notes
0010036819,VRC 720/2,CTLV2,sensoCOMFORT
0020028521,VRC 430f,43000,calorMATIC 430f
0020028524,VRC 430f,43000,calorMATIC 430f
0020040079,VRC 630,63000,calorMATIC 630
0020058640,VRC 430f,43000,calorMATIC 430f
0020060427,VRC 430,43000,calorMATIC 430
0020080463,VRC 620,62000,auroMATIC 620
0020080467,VRC 630,63000,calorMATIC 630
0020080468,VRC 630,63000,calorMATIC 630
0020080472,VRC 630,63000,calorMATIC 630
0020092435,VRC 630,63000,calorMATIC 630
0020092440,VRC 630,63000,calorMATIC 630
0020108135,VRC 470f,47000,calorMATIC 470f
0020108137,VRC 470f,47000,calorMATIC 470f
0020112594,VRC 470f,47000,calorMATIC 470f
0020171314,VRC 700/2,70000,multiMATIC
0020171315,VRC 700/4,70000,multiMATIC
0020218357,VRC 700/4,70000,multiMATIC
0020231561,VRC 700(f)/4,700f0,multiMATIC
0020252922,VR920,NETX2,Internet communication module
0020252923,VR920,NETX2,Internet communication module
0020252924,VR920,NETX2,Internet communication module
0020252926,VR920,NETX2,Internet communication module
0020260962,VR921,NETX2,SensoNET
0020260963,VR921,NETX2,SensoNET
0020260964,VR921,NETX2,SensoNET
0020260965,VR921,NETX2,SensoNET
0020262148,VRC 720f/2,BASV2,sensoCOMFORT RF
0020274790,VRC 710,EMM00,sensoDIRECT
0020282696,VR921,NETX2,SensoNET
0020292012,VR940f,NETX3,myVaillant Connect
0020300000,VR940,NETX3,myVaillant Connect
0020306235,VR940f,NETX3,myVaillant Connect
0020328845,VRC 720f/3,BASV3,sensoCOMFORT RF
